model_id,calibration_method,intervention_id,core_mean_auroc,core_mean_auprc,core_mean_ece,core_mean_brier,core_mean_rc_delta,core_mean_rc_flip,core_mean_mono_drop,core_mean_dinuc_drop,core_mean_shortcut_score,core_matched_negative_shift,core_worst_gc_bin_auroc,core_gc_bin_auroc_gap,core_worst_gc_bin_ece
caduceus_ph,none,matched_negative_retraining,0.8194124252604111,0.8329896170408727,0.11477550100766706,0.19049557581703036,0.04227975150227925,0.13006648012644356,-0.07718711979593275,-0.01236442070504475,0.6885964912280701,0.05850164802608854,0.6236454822318419,0.10780336224482452,0.08669245473050975
caduceus_ph,none,standard,0.7416918124042852,0.7303222716537376,0.03964847821532525,0.20183467111426734,0.034831516473597376,0.09671171847720086,-0.052918177914772976,-0.011598884680433375,0.6424501424501425,0.06829481391214787,0.6236454822318419,0.10780336224482452,0.08669245473050975
caduceus_ph,temperature,standard,0.8133026114109636,0.8282179656503517,0.03404579590956755,0.1744861910074459,0.03960117112406735,0.04670064627596965,-0.08962723465233464,-0.01087390003319365,0.6403508771929824,0.06861691190195746,0.6236454822318419,0.10780336224482452,0.08669245473050975
cpg_only,none,standard,0.644759684715837,0.642103912879255,0.028148352224721552,0.22242284325739764,0.0,0.0,0.0,0.0,0.4613135402609087,,,,
dnabert2,none,matched_negative_retraining,0.8637522990613481,0.8752562980868639,0.09252857872854181,0.15838310399482786,0.08404726857214055,0.1463801306367845,-0.07980520491917295,0.01321324741670455,0.6885964912280701,0.01417307148485697,0.730129345346193,0.09125540106044677,0.04376689127161395
dnabert2,none,standard,0.79375,0.7904983492433972,0.028867947852066724,0.17877222944246102,0.0806979403719271,0.1345,0.006607293957001624,0.0007839455486090743,0.6372207227470386,0.012999951408089183,0.730129345346193,0.09125540106044677,0.04376689127161395
dnabert2,temperature,standard,0.8732950269749769,0.8815081139928677,0.019902367608167097,0.1401461322681605,0.07745395678181466,0.09579678777633875,-0.04560665223729455,0.02453632097271635,0.5789473684210527,0.033278465909718336,0.730129345346193,0.09125540106044677,0.04376689127161395
gc_only,none,standard,0.689664364581607,0.6840089003128924,0.03127098707542868,0.2187446725543336,0.0,0.0,0.0,0.0,0.4534787824261508,0.08821427686201393,,,
kmer_logistic_regression,none,standard,0.7462655,0.8125337287901196,0.23450652810725564,0.261688355034259,0.3394389041207518,0.349,0.08686532055278695,0.11854607080406122,0.6459551656920078,-0.006847961369580546,0.699688007299776,0.08337910069196106,0.2132470299691142
length_only,none,standard,0.5,0.5,0.00263758430989605,0.25001073479587443,0.0,0.0,0.0,0.0,0.5391737891737891,,,,
nucleotide_transformer_v2,none,standard,0.5836945,0.5794648186324528,0.13782186280907022,0.26627281180731516,0.24907441399313895,0.48075,0.016223845744381002,0.0025358307905436993,0.6798245614035088,,,,
repeat_only,none,standard,0.5558817812578581,0.562870555558999,0.02602086064993605,0.24655075985582892,0.0,0.0,0.0,0.0,0.4694294496926075,,,,
small_cnn,none,gc_balanced,0.8329921953036652,0.8430999912273366,0.11455386003158634,0.1796170992229942,0.071951612830162,0.08436029490905177,0.13484966754913327,0.07807475328445433,0.4253261358524516,,0.6887111519582074,0.12012508047498159,0.09974723979009989
small_cnn,none,matched_negative_retraining,0.8230325186377749,0.8372110298618596,0.10821896130443975,0.18298702022398997,0.07626165635883803,0.1125810915768856,0.06804964939753218,0.0625922282536824,0.5431848852901484,0.03147118728608048,0.6887111519582074,0.12012508047498159,0.09974723979009989
small_cnn,none,standard,0.76882725,0.8510174083337477,0.06120623634755607,0.19382864647744846,0.041179354069754426,0.07200000000000001,0.046735331416130024,0.028817608952522274,0.4509484180536812,0.008379689172300697,0.6887111519582074,0.12012508047498159,0.09974723979009989
small_cnn,temperature,standard,0.81802,0.8329819144306962,0.03957391971349715,0.16786398346569145,0.046799674630165045,0.07125000000000001,0.0102835893630981,0.02399605512619015,0.4429824561403508,,0.6887111519582074,0.12012508047498159,0.09974723979009989
small_cnn_rc_aug,none,gc_balanced,0.8514174159630074,0.8597708859026962,0.0496055579087199,0.15249574771329757,0.06312779337167733,0.08061021418577118,0.10620066523551935,0.07215201854705806,0.48582995951416996,,0.718199892214848,0.11790730096573945,0.0763625707117819
small_cnn_rc_aug,none,matched_negative_retraining,0.8375586704284851,0.8507288668488785,0.09262440015620284,0.1711995733527626,0.05579471339782074,0.1062849359129329,0.08879871169726057,0.0608244935671488,0.5371120107962213,0.024247925893154682,0.718199892214848,0.11790730096573945,0.0763625707117819
small_cnn_rc_aug,none,standard,0.8039419999999999,0.8591679182683437,0.051715448812581576,0.17701271970827967,0.038917607627809,0.069125,0.08730231225490567,0.04751800000667567,0.3773429299745089,0.024041789456420548,0.718199892214848,0.11790730096573945,0.0763625707117819
small_cnn_rc_aug,temperature,standard,0.8310545,0.8435383165543908,0.025249000089242947,0.15841014445955315,0.0636706836521625,0.09275,-0.0065029263496398995,0.03186491131782525,0.47807017543859653,,0.718199892214848,0.11790730096573945,0.0763625707117819
